date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:59	71030/71030	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2001:00:55%20GMT	https://www.elitedesignhub.com/custom-website-design/?keyword=web%20design&matchtype=p&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE	/Users/ibrahimyasir/Documents/purple/portfolio/www.elitedesignhub.com/custom-website-design/index21ea.html	(from )
19:51:59	4677/4677	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Jul%202019%2014:04:29%20GMT	https://www.elitedesignhub.com/robots.txt		(from )
19:52:00	155521/155521	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2004:28:32%20GMT	https://www.elitedesignhub.com/custom-website-design/css/bootstrap.css	/Users/ibrahimyasir/Documents/purple/portfolio/www.elitedesignhub.com/custom-website-design/css/bootstrap.css	(from https://www.elitedesignhub.com/custom-website-design/?keyword=web%20design&matchtype=p&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE)
19:52:01	59344/59344	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Mar%202021%2018:15:14%20GMT	https://www.elitedesignhub.com/custom-website-design/fontawesome5/css/all.min.css	/Users/ibrahimyasir/Documents/purple/portfolio/www.elitedesignhub.com/custom-website-design/fontawesome5/css/all.min.css	(from https://www.elitedesignhub.com/custom-website-design/?keyword=web%20design&matchtype=p&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE)
19:52:01	1327/1327	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2004:29:14%20GMT	https://www.elitedesignhub.com/custom-website-design/css/slick.css	/Users/ibrahimyasir/Documents/purple/portfolio/www.elitedesignhub.com/custom-website-design/css/slick.css	(from https://www.elitedesignhub.com/custom-website-design/?keyword=web%20design&matchtype=p&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE)
19:52:02	12795/12795	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Mar%202020%2013:58:44%20GMT	https://www.elitedesignhub.com/custom-website-design/css/jquery.fancybox.min.css	/Users/ibrahimyasir/Documents/purple/portfolio/www.elitedesignhub.com/custom-website-design/css/jquery.fancybox.min.css	(from https://www.elitedesignhub.com/custom-website-design/?keyword=web%20design&matchtype=p&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE)
19:52:03	45373/45373	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202022%2008:46:20%20GMT	https://www.elitedesignhub.com/custom-website-design/css/animate.css	/Users/ibrahimyasir/Documents/purple/portfolio/www.elitedesignhub.com/custom-website-design/css/animate.css	(from https://www.elitedesignhub.com/custom-website-design/?keyword=web%20design&matchtype=p&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE)
19:52:05	65050/65050	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2000:59:35%20GMT	https://www.elitedesignhub.com/custom-website-design/css/custom.css	/Users/ibrahimyasir/Documents/purple/portfolio/www.elitedesignhub.com/custom-website-design/css/custom.css	(from https://www.elitedesignhub.com/custom-website-design/?keyword=web%20design&matchtype=p&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE)
19:52:05	1254/1254	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jun%202021%2018:15:58%20GMT	https://www.elitedesignhub.com/custom-website-design/images/faveicon.png	/Users/ibrahimyasir/Documents/purple/portfolio/www.elitedesignhub.com/custom-website-design/images/faveicon.png	(from https://www.elitedesignhub.com/custom-website-design/?keyword=web%20design&matchtype=p&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE)
19:52:06	52334/52334	---M-Z	200	added ('OK')	application/javascript	etag:%2237e15fed72b47b0100cbd5c7aaa9d3a0+gzip+gzip%22	http://static.ads-twitter.com/uwt.js	/Users/ibrahimyasir/Documents/purple/portfolio/static.ads-twitter.com/uwt.js	(from https://www.elitedesignhub.com/custom-website-design/?keyword=web%20design&matchtype=p&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE&gclid=CjwKCAjwkYGVBhArEiwA4sZLuMFdgHG_PvkH34T5HWmfxVMpgreqv_qO6ib6InujphXiLqoJhVlxIBoCVm4QAvD_BwE)
